short query,query,Google_value,Comments
acupuncture acupressure premenstrual syndrome,Acupuncture and acupressure for premenstrual syndrome,4,may
acupuncture uterine fibroids,Acupuncture for uterine fibroids,3,few critical review
antioxidant liver diseases,Antioxidant supplements for liver diseases,5,have been found to be effective
antioxidants female subfertility,Antioxidants for female subfertility,-2,The summary does not provide answer. 
auricular acupuncture cocaine dependence,Auricular acupuncture for cocaine dependence,-1,
cannabinoids epilepsy,Cannabinoids for epilepsy,3,with potential for use as anti-epileptics:
cannabis ulcerative colitis,Cannabis for the treatment of ulcerative colitis,-1,
dietary flavonoid colorectal neoplasms,Dietary flavonoid for preventing colorectal neoplasms,-1,
electrical stimulation rheumatoid arthritis,Electrical stimulation for the treatment of rheumatoid arthritis,-2,The summary does not provide answer. Clicking on paper -- not aailable.
electromagnetic therapy pressure ulcers,Electromagnetic therapy for treating pressure ulcers,4,may improve healing of chronic wounds such as pressure ulcers
guided imagery hypertension pregnancy,Guided imagery for treating hypertension in pregnancy,4,has the potential to
homeopathy chronic asthma,Homeopathy for chronic asthma,-2,
music therapy depression,Music therapy for depression,-1,
nutritional support liver disease,Nutritional support for liver disease,-1,
oral zinc hyperbilirubinaemia neonates,Oral zinc for the prevention of hyperbilirubinaemia in neonates,5,can reduce the bilirubin level
probiotics gestational diabetes,Probiotics for preventing gestational diabetes,-1,
selenium asthma,Selenium supplementation for asthma,1,selenium supplementation has not been recommended with drug therapy for asthma.
vitamin b6 cognition,Vitamin B6 for cognition,-2,
vitamin e intermittent claudication,Vitamin E for intermittent claudication,4,
xuebijing paraquat poisoning,Xuebijing for paraquat poisoning,-1,
yoga stroke rehabilitation,Yoga for stroke rehabilitation,5,
Acupuncture episodic migraine,Acupuncture for the prevention of episodic migraine,-1,
cinnamon diabete mellituss,Cinnamon for diabetes mellitus,3,
Cranberries urinary tract infections,Cranberries for preventing urinary tract infections,-1,
Ginkgo biloba  cognitive impairment and dementia,Ginkgo biloba for cognitive impairment and dementia,5,
Glucosamine therapy osteoarthritis,Glucosamine therapy for treating osteoarthritis,4,may provide 
Honey cough children,Honey for acute cough in children,-1,
Omega-3 fatty acids dementia,Omega 3 fatty acids for the treatment of dementia,4,
Probiotics  acute infectious diarrhoea,Probiotics  acute infectious diarrhoea,4,
Vitamin C  common cold,Vitamin C for preventing and treating the common cold,5,
Chinese herbal medicine  atopic eczema,Chinese herbal medicine for atopic eczema,-1,
balneotherapy spa therapy rheumatoid arthritis,Balneotherapy (or spa therapy) for rheumatoid arthritis,-2,
rutosides post-thrombotic syndrome,Rutosides for prevention of post-thrombotic syndrome,5,
hypnosis induction labour,Hypnosis for induction of labour,4,
herbal preparations uterine fibroids,Herbal preparations for uterine fibroids,-1,
melatonin dementia,Melatonin for the treatment of dementia,5,
therapeutic touch anxiety disorders,Therapeutic touch for anxiety disorders,-1,
low-fat diets acquired hypercholesterolaemia,Low-fat diets for acquired hypercholesterolaemia,-1,
music interventions preoperative anxiety,Music interventions for preoperative anxiety,-1,
valerian anxiety disorders,Valerian for anxiety disorders,3,
acupuncture glaucoma,Acupuncture for glaucoma,5,
phlebotonics haemorrhoids,Phlebotonics for haemorrhoids,5,
acupuncture mumps children,Acupuncture for mumps in children,5,
vitamin b peripheral neuropathy,Vitamin B for treating peripheral neuropathy,5,
thermotherapy rheumatoid arthritis,Thermotherapy for treating rheumatoid arthritis,-1,
horticultural therapy schizophrenia,Horticultural therapy for schizophrenia,-2,
vitamin c pneumonia,Vitamin C for preventing and treating pneumonia,-1,"unclear: According to animal studies, vitamin C increases resistance to various viral and bacterial infections. Moreover, many infections, including pneumonia, lead to reduced vitamin C levels in plasma, leukocytes and urine."
phlebotonics venous insufficiency,Phlebotonics for venous insufficiency,4,often used
creatine muscle disorders,Creatine for treating muscle disorders,5,
thymic peptides cancer patients,Thymic peptides for treatment of cancer patients,4,thought to
acupuncture stroke rehabilitation,Acupuncture for stroke rehabilitation,5,
hypnosis schizophrenia,Hypnosis for schizophrenia,-1,
acupuncture epilepsy,Acupuncture for epilepsy,5,
fermented milk hypertension,Fermented milk for hypertension,1,
acupuncture acute hordeolum,Acupuncture for acute hordeolum,3,
transcutaneous electrostimulation osteoarthritis knee,Transcutaneous electrostimulation for osteoarthritis of the knee,-1,
ayurvedic medicine schizophrenia,Ayurvedic medicine for schizophrenia,5,
balneotherapy osteoarthritis,Balneotherapy for osteoarthritis,5,
yoga epilepsy,Yoga for epilepsy,-1,unclear
interventions ingrowing toenails,Interventions for ingrowing toenails,-1,
