metric_name,Google,majority,DecisionTreeClassifier,RandomForestClassifier
reject_acc,1,3,6,9
reject_as_support,6,5,0,0
reject_as_neutral,3,6,8,5
neutral_acc,11,22,31,34
neutral_as_reject,1,5,5,3
neutral_as_support,9,10,1,0
support_acc,1,2,1,1
support_as_reject,0,1,2,1
support_as_neutral,1,0,0,1
actual_rejects,15,15,15,15
actual_neutral,41,41,41,41
actual_support,4,4,4,4
val_false_optimism_mae,2.0952380952380953,1.7666666666666666,1.3333333333333333,1.4545454545454546
val_false_pessimism_mae,1.6666666666666667,2.2857142857142856,1.9090909090909092,1.3333333333333333
class_false_optimism_mae,2.6666666666666665,2.4761904761904763,2.0,2.0
class_false_pessimism_mae,2.0,2.3333333333333335,2.5714285714285716,2.4
val_false_optimism_num,21,30,18,11
val_false_pessimism_num,3,7,11,15
class_false_optimism_num,18,21,9,5
class_false_pessimism_num,2,6,7,5
val_false_optimism_rate,0.35,0.5,0.3,0.18333333333333332
val_false_pessimism_rate,0.05,0.11666666666666667,0.18333333333333332,0.25
class_false_optimism_rate,0.3,0.35,0.15,0.08333333333333333
class_false_pessimism_rate,0.03333333333333333,0.1,0.11666666666666667,0.08333333333333333
num_queries,60,60,60,60
num_rel,33,54,54,54
acc,0.21666666666666667,0.45,0.6333333333333333,0.7333333333333333
support_acc_percent,0.25,0.5,0.25,0.25
neutral_acc_percent,0.2682926829268293,0.5365853658536586,0.7560975609756098,0.8292682926829268
reject_acc_percent,0.06666666666666667,0.2,0.4,0.6
