query,value_label
Acupuncture and acupressure for premenstrual syndrome,4
Acupuncture for uterine fibroids,3
Antioxidant supplements for liver diseases,3
Antioxidants for female subfertility,2
Auricular acupuncture for cocaine dependence,3
Cannabinoids for epilepsy,3
Cannabis for the treatment of ulcerative colitis,3
Dietary flavonoid for preventing colorectal neoplasms,3
Electrical stimulation for the treatment of rheumatoid arthritis,4
Electromagnetic therapy for treating pressure ulcers,2
Guided imagery for treating hypertension in pregnancy,3
Homeopathy for chronic asthma,3
Music therapy for depression,4
Nutritional support for liver disease,1
Oral zinc for the prevention of hyperbilirubinaemia in neonates,1
Probiotics for preventing gestational diabetes,3
Selenium supplementation for asthma,4
Vitamin B6 for cognition,2
Vitamin E for intermittent claudication,3
Xuebijing for paraquat poisoning,2
Yoga for stroke rehabilitation,4
Acupuncture for the prevention of episodic migraine,4
Cinnamon for diabetes mellitus,3
Cranberries for preventing urinary tract infections,2
Ginkgo biloba for cognitive impairment and dementia,2
Glucosamine therapy for treating osteoarthritis,1
Honey for acute cough in children,4
Omega 3 fatty acids for the treatment of dementia,2
Probiotics  acute infectious diarrhoea,5
Vitamin C for preventing and treating the common cold,2
Chinese herbal medicine for atopic eczema,3
Balneotherapy (or spa therapy) for rheumatoid arthritis,3
Rutosides for prevention of post-thrombotic syndrome,3
Hypnosis for induction of labour,3
Herbal preparations for uterine fibroids,3
Melatonin for the treatment of dementia,2
Therapeutic touch for anxiety disorders,3
Low-fat diets for acquired hypercholesterolaemia,3
Music interventions for preoperative anxiety,5
Valerian for anxiety disorders,3
Acupuncture for glaucoma,3
Phlebotonics for haemorrhoids,4
Acupuncture for mumps in children,3
Vitamin B for treating peripheral neuropathy,3
Thermotherapy for treating rheumatoid arthritis,4
Horticultural therapy for schizophrenia,3
Vitamin C for preventing and treating pneumonia,4
Phlebotonics for venous insufficiency,4
Creatine for treating muscle disorders,5
Thymic peptides for treatment of cancer patients,4
Acupuncture for stroke rehabilitation,4
Hypnosis for schizophrenia,3
Acupuncture for epilepsy,2
Fermented milk for hypertension,1
Interventions for ingrowing toenails,5
Acupuncture for acute hordeolum,4
Transcutaneous electrostimulation for osteoarthritis of the knee,3
Ayurvedic medicine for schizophrenia,4
Balneotherapy for osteoarthritis,1
Yoga for epilepsy,3
